GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,POP_25OV,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,HU_TOT
East Side,24194.41614,8149.510496,5032.383176,4255.36428,4184.543009,1454.568589,769.9818886,348.0647017,14223.45816,31.52554065,3524.225859,19772.80265,802.6380224,46.86595915,47.88365014,10859.99482,9214.427869,1610.705292,6985.890688,158.965409,8992.415161,6618.342486,987.8230432,1066.700621,299.5792786,19.96973273,0,885.293892,2538.883747,2286.107544,1187.497794,4270.51674,5065.228564,2530.457768,686.9422705,1267.046257,403.2665628,1534.613649,2133.794842,1146.717101,1016.40291,791.0343856,274.7140554,45700.93911,1289.301286,1426.350041,1263.609287,2918.016329,7896.419385
Edgewater,57022,8112,17065,12563,10756,4962,2329,1235,44989.00001,38.49183075,31379,8760.000002,7689,7321,1873,35265.00001,33235.00001,2030,15912,2345.000001,30442.00001,11558,1576,14211,2430.000001,667.0000004,254809.9999,11007,13352,3798,723,4283.000001,6593.000002,6555.000001,2183,14380,10995,7313,6423.000001,4919,2995,3481,3749.000001,53182.64015,14835,9260.000001,2512,2273,32639.00001
Edison Park,11566.8755,2716.585374,2169.487936,2834.101865,2142.41019,858.5909771,638.4316238,207.2675374,8432.741418,40.73724957,9616.489757,1157.224347,223.0000002,285.2815616,284.8798376,6661.183673,6527.386321,133.7973517,2451.031305,295.7292408,6080.558429,4903.370334,179.0372701,741.6441338,173.1335254,83.37316571,0,286.4892187,1588.583201,1981.345415,719.8582608,382.388484,1725.129076,1614.759489,523.6798226,2457.409175,1729.375371,436.3916402,608.5400197,540.7267811,678.5640811,838.5413843,1473.084447,101213.0685,1358.583965,1442.135523,679.1359083,1095.992957,4880.806195
Englewood,23792,6851.999999,5416,3410,4823.000001,1838.000001,1068,385.0000002,15085,33.82945249,172.0000001,1025,22392,75.99999996,126.9999999,9049.999999,6625.999999,2423.999999,8991.999999,239.0000001,6119.999999,2974.999999,274,2627,132.9999999,111,14364.99996,4568.999988,3214.999991,1054.999997,261.9999993,3549.000001,5332.000001,4102,846.0000001,903.0000001,353,5157.000001,2194.000001,858,392.0000002,374.9999998,125,21274.57002,3990.000001,2090.000001,1245,1776,14098.00001
Forest Glen,19112.72496,4865.824346,2723.620955,4075.290447,3911.494607,1787.378275,1247.01926,502.0970725,13611.92989,42.95340384,13281.26965,2870.698767,215.0000001,2336.659476,409.0970726,10030.66807,9633.307937,397.3601378,4928.578511,379.5842232,9078.683698,6586.891013,975.7602904,1304.880336,157.1520581,54.00000012,0,287.3174601,2469.643991,3083.965985,1150.471655,862.4884436,2184.025423,2214.29738,576.1163327,4312.171033,3462.83128,790.7432436,895.6531535,756.9594598,752.3378381,1147.306306,2647.828829,111770.6373,1692.261262,2180.725225,1139.193694,1978.648649,7249.916135
Fuller Park,2398.903029,409.8634606,433.2583405,337.8456173,546.2792872,456.0480998,152.6082236,63.00000007,1793.73856,50.52317462,85.14274674,159.2552368,2137.966643,12.49340585,4.044996157,877.9143484,619.3532549,258.5610935,1166.192596,4.197677253,593.8841042,301.5081058,53.44931053,221.0902493,17.16573919,0.67069926,0,607.5549232,305.7271429,149.9404672,29.10489009,433.782778,740.2971305,285.6082238,133.2769591,142.9635379,57.8099303,614.3157901,260.3157898,117.263158,26.05263155,76.26315799,2.36842101,22920.25862,538.2105267,299.1578951,132.9473686,126.2631579,1536.065709
Gage Park,39302,13727,9768.000001,7652,4978.000001,2195.000001,726,256,22400,28.60855868,1502,36072,1503,206,19,18466.99997,16139.99998,2318.999996,9848.999984,214.9999994,15357.99998,8629.999985,3055.999995,2905.999998,736.9999984,28.99999994,161804.9999,1614.000001,3338.000002,3106.000004,1742.000002,7932,9023.000001,2990,998.0000002,1122,335.0000002,2736.999999,3076.999999,1918.999999,968.9999996,803.9999998,293.9999998,41182.00837,1712.999999,1555.999999,1658,4872.999998,10755
Garfield Ridge,36395.99999,9337.999997,6468.999998,7413.999999,7527.999999,3123,1711,812.9999999,25350,39.06218145,15662,18302,1657.999999,421.9999996,352,18510.99999,17068.99999,1441.999999,10271.99999,294.9999998,16333.99999,12459.99999,1633.999999,1887.999998,303.9999998,48.00000002,172269.9995,1094.000004,4089.000016,5094.000024,1976.000009,4305.999998,8219.999998,5430,2010,3716,1668,1899,2418.000001,2107.000001,1596,2145.000001,2064,71398.37083,3026.000001,3733.000001,1689.000001,3781.000001,12920
Grand Boulevard,22784,6209.999999,4421.999998,5157.999999,3730.999999,1883,1029,350.9999999,15076,36.93581253,615,402.9999999,21090,160,515.9999998,10936,9267.999999,1655.999999,6650.999999,491.9999998,8426.999999,4378.999999,642.9999998,2845,355,205,0,3982.000005,4554.000006,1437.000003,410.0000003,2186,3049.999999,3755.999999,1363.999999,2672.999999,2047,4448.999996,2132.999998,1299,752.9999998,820.9999996,927.9999996,32348.13085,5114.999996,2419.999998,1438.999999,1408.999999,12391
Greater Grand Crossing,30804.99999,8097.999996,7222.999997,5106.999998,6258.999998,2269,1107,741.9999998,20700.99999,35.24969363,340,373.9999996,29625.99999,0,464.9999996,14005.99999,11004,3001.999998,10184.99999,581.0000001,10007,4912.999999,827.9999999,4020.999999,168.9999997,75.99999996,137075.0001,5006.999998,5047.999998,1599.999999,574.9999995,2777.999999,5813.999998,7017.999998,1536.999999,2202,1352,5842.000001,2775.000001,1653.000001,1061.000001,588.0000003,311.0000002,26955.5874,4872.000002,3549.000001,1972.000001,1837.000001,15668
